Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
FII(w)aF S[1],05/10/2023,09:50 AM,05/10/2023,11:25 AM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[16]",05/10/2023,07:25 PM,05/10/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[1],06/10/2023,09:50 AM,06/10/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
Sm(w)314 SJCh[1],06/10/2023,11:40 AM,06/10/2023,01:15 PM,False,Statystyka matematyczna - (Wyk³ad) - Chmaj Jerzy,academic grounds,True
SO(w)314 SZie[2],09/10/2023,03:45 PM,09/10/2023,05:20 PM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
Bd(w)314 SKe[1],10/10/2023,09:50 AM,10/10/2023,11:25 AM,False,Bazy danych - (Wyk³ad) - Kiedrowicz Maciej,academic grounds,True
Bd(w)314 SKe[2],10/10/2023,11:40 AM,10/10/2023,01:15 PM,False,Bazy danych - (Wyk³ad) - Kiedrowicz Maciej,academic grounds,True
"Ja(æ)134 K,-[17]",10/10/2023,05:35 PM,10/10/2023,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
Swb(w)316 SMu[1],10/10/2023,07:25 PM,10/10/2023,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
Als(w)314 SWor[1],11/10/2023,09:50 AM,11/10/2023,11:25 AM,False,Algorytmy i struktury danych - (Wyk³ad) - Worwa Kazimierz,academic grounds,True
FII(w)aF S[2],11/10/2023,11:40 AM,11/10/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
Po(w)314 SWlc[1],12/10/2023,01:30 PM,12/10/2023,03:05 PM,False,Programowanie obiektowe - (Wyk³ad) - Walczak Andrzej,academic grounds,True
"JoM(æ)233 K,-[17]",12/10/2023,07:25 PM,12/10/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[2],13/10/2023,09:50 AM,13/10/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
Sm(w)314 SJCh[2],16/10/2023,09:50 AM,16/10/2023,11:25 AM,False,Statystyka matematyczna - (Wyk³ad) - Chmaj Jerzy,academic grounds,True
